Date,Open,High,Low,Close,Volume,Adj Close
2000-09-11,5.00,5.00,4.5625,4.9375,12500,4.9375
2000-09-08,4.8125,5.25,4.8125,4.875,2700,4.875
2000-09-07,5.6875,5.875,4.6875,5.00,27100,5.00
2000-09-06,5.6875,5.6875,5.5625,5.5625,4100,5.5625
2000-09-05,5.875,5.875,5.75,5.75,2600,5.75
2000-09-01,5.875,5.875,5.8125,5.8125,1000,5.8125
2000-08-31,6.00,6.125,5.8125,5.875,45700,5.875
2000-08-30,4.8125,5.875,4.8125,5.875,29000,5.875
2000-08-29,5.00,5.375,4.75,5.00,21600,5.00
2000-08-28,4.75,4.75,4.50,4.50,1500,4.50
2000-08-25,4.75,4.9375,4.75,4.9375,14300,4.9375
2000-08-24,4.50,4.9375,4.50,4.9375,2100,4.9375
2000-08-23,4.50,4.875,4.50,4.75,7900,4.75
2000-08-22,4.75,4.75,4.75,4.75,1000,4.75
2000-08-21,4.75,4.75,4.5625,4.625,1600,4.625
2000-08-18,4.4375,4.75,4.25,4.375,5000,4.375
2000-08-17,4.3125,4.4375,4.3125,4.4375,800,4.4375
2000-08-16,5.125,5.25,3.9375,4.4375,38800,4.4375
2000-08-15,5.25,5.28125,4.75,5.00,8600,5.00
2000-08-14,4.25,5.5625,4.25,4.875,45900,4.875
2000-08-11,4.375,4.375,3.125,4.25,27300,4.25
2000-08-10,5.00,5.00,4.00,4.5625,11100,4.5625
2000-08-09,5.00,5.00,4.75,4.75,1100,4.75
2000-08-08,4.75,4.75,4.75,4.75,400,4.75
2000-08-07,5.00,5.00,4.875,4.875,1600,4.875
2000-08-04,5.00,5.25,5.00,5.25,1100,5.25
2000-08-03,4.1875,5.875,4.1875,5.375,28800,5.375
2000-08-02,4.50,4.50,4.0625,4.15625,3000,4.15625
2000-08-01,4.28125,4.28125,4.23438,4.25,10200,4.25
2000-07-31,4.00,5.00,4.00,4.25,32300,4.25
2000-07-28,4.25,4.375,4.00,4.375,10600,4.375
